,관광지,합계_x,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,합계_y,2022_01,2022_02,2022_03,위도,경도
0,3.15아트,106172,884,1160,6536,8727,9845,9488,9006,2202,6091,27856,12938,11439,"9,477",2238,2896,4343,35.2259,128.5772
1,군항문화탐방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,도립미술관,35443,2332,4660,4449,2522,3434,1694,3997,2898,1926,1728,3015,2788,"5,174",4281,893,0,35.2397,128.6909
3,돝섬유원지,91385,2424,7175,7358,9439,11510,7087,3637,4123,7320,14492,12472,4348,"15,569",4783,4451,6335,35.1791,128.5811
4,로봇랜드,323608,7201,23434,14392,25025,50982,24827,7964,12907,33488,59732,45002,18654,"55,336",21297,16853,17186,35.0772,128.587
5,문신미술관,10948,273,831,923,496,1581,993,794,901,585,1306,1016,1249,"3,238",1064,1241,933,35.2066,128.569
6,봉암유원지,274111,17238,18162,69377,42136,18555,15820,11842,13858,15608,20627,18862,12026,"41,763",14192,14029,13542,35.2181,128.6052
7,성산아트홀,121506,269,3920,4911,10546,13147,10595,11817,9109,4236,20898,14299,17759,"18,413",6213,6622,5578,35.2302,128.6837
8,용지호수공원 무빙보트,14960,220,864,1232,1484,2272,1388,816,436,2384,1748,1668,448,"2,524",592,612,1320,35.2335,128.682
9,저도비치로드,163804,15499,19422,36539,25141,16021,7187,5168,6333,8173,9038,8303,6980,"27,016",10091,8840,8085,35.0591,128.569
10,제황산공원-모노레일,10475,0,0,0,0,1455,1403,791,136,1278,2515,1851,1046,"5,721",1371,1000,3350,35.1497,128.6616
11,주기철목사기념관,35187,719,928,1661,1275,1936,2997,4940,4370,5155,4277,3616,3313,"6,421",2035,2082,2304,35.1113,128.7525
12,주남저수지,1242867,23186,23689,18733,117578,167749,89291,57950,57942,84447,223819,211884,166599,"455,911",206242,134300,115369,35.30732964,128.6779306
13,진해내수면환경생태공원,670684,20508,38637,214242,89392,42216,28604,23478,26479,32091,46468,75476,33093,"99,532",29949,23277,46306,35.163,128.6587
14,진해해양공원,499717,29275,39162,45844,38680,49330,36602,34976,51200,54250,59132,35252,26014,"164,388",53065,49960,61363,35.0915,128.7197
15,창원경륜장,134314,0,3909,10957,9984,2967,17034,18876,2410,17157,17808,14955,18257,"62,763",21134,19429,22200,35.2322,128.6681
16,창원과학체험관,50925,1254,2758,4560,4013,5916,6876,7062,3765,2446,3550,3933,4792,"17,973",6658,5433,5882,35.230268,128.6617774
17,창원단감테마공원,143809,0,2610,10855,12023,16672,10321,6671,2036,15962,38653,19471,8535,"24,232",6383,5734,12115,35.29915488,128.6632468
18,창원의집,140494,4164,8296,35184,21645,11481,7185,6084,4763,10067,13109,12347,6169,"20,240",6471,5731,8038,35.24444959,128.6813533
19,창원짚트랙,30562,772,2827,2685,2209,3723,2707,2463,4103,2913,3440,1732,988,"2,819",1057,755,1007,35.0924,128.7192
20,창원컨트리클럽,141078,7799,8796,10515,11385,12689,12333,12436,9193,12363,13641,19471,10457,"27,751",9167,8531,10053,35.2603,128.6644
21,콰이강의다리 스카이워크,279517,6450,31203,23864,24070,32685,23054,20292,22033,23832,27537,23627,20870,"76,710",30430,23800,22480,35.0676,128.5629
22,해양드라마세트장,577548,39738,51950,143296,73070,46420,20169,20749,30426,24696,45486,40473,41075,"142,128",57778,46955,37395,35.1101,128.5413
23,마금산온천,,,,,,,,,,,,,,,,,,35.35464845,128.6094168
24,마산해양레포츠센터,,,,,,,,,,,,,,,,,,35.19796654,128.5759021
25,웅천도요지전시관,,,,,,,,,,,,,,,,,,35.12738997,128.8155983
26,진해해양레포츠센터,,,,,,,,,,,,,,,,,,35.14129989,128.6883002
27,마산 오동동 통술골목,,,,,,,,,,,,,,,,,,35.2070833,128.5770647
28,가고파 꼬부랑길 벽화마을,,,,,,,,,,,,,,,,,,35.2077707,128.5699131
29,창동예술촌,,,,,,,,,,,,,,,,,,35.2066907,128.5741251
30,메타세콰이어 가로수길,,,,,,,,,,,,,,,,,,35.3491558,128.6843713
31,굿데이뮤지엄,,,,,,,,,,,,,,,,,,35.2186315,128.5977367
32,여좌천 로망스다리,,,,,,,,,,,,,,,,,,35.1543289,128.659301
33,창원국제사격장,,,,,,,,,,,,,,,,,,35.2514596,128.685318
34,진해드림로드,,,,,,,,,,,,,,,,,,35.1741079,128.6554699
35,진해드림파크,,,,,,,,,,,,,,,,,,35.1337279,128.7164072
36,경화시장,,,,,,,,,,,,,,,,,,35.1563002,128.6907615
37,창원편백치유의숲,,,,,,,,,,,,,,,,,,35.1751072,128.6610361
38,동부마을 팽나무(우영우 촬영지),,,,,,,,,,,,,,,,,,35.3491243,128.7275229
