,터미널명,주소,위도,경도,보관대수,관광지,터미널번호,주변 터미널 유무,주변관광지,가볼만한장소,출발터미널,도착대수,출발대수
44,창원레포츠파크(창원경륜장),경남 창원시 성산구 중앙동  1번지 경륜공단,35.23295689,128.6681414,50,창원경륜장,19,TRUE,"창원과학체험관, 창원의집",,,,
45,창원레포츠파크(창원경륜장),경남 창원시 성산구 중앙동  1번지 경륜공단,35.23295689,128.6681414,50,창원과학체험관,19,TRUE,,,,,
18,사림동버스정류소,경남 창원시 의창구 사림동  510 도,35.24421715,128.6759949,24,창원의집,36,TRUE,,,,,
3,경남도청,경남 창원시 의창구 사림동  1번지,35.23754881,128.6912084,25,도립미술관,38,TRUE,,,,,
8,노블파크아파트 버스정류소,경남 창원시 성산구 반림동  511도,35.23569542,128.6656737,28,창원경륜장,42,TRUE,,,,,
50,트리비앙상가 주차장,경남 창원시 성산구 반림동  23 차,35.23506666,128.6702174,13,창원경륜장,43,TRUE,,,,,
14,무학상가 앞,경남 창원시 성산구 용호동  504 무학상가 앞,35.23581373,128.6767808,26,용지호수공원 무빙보트,52,TRUE,,,,,
30,의창도서관,경남 창원시 성산구 반송동  산51-5 임,35.23378065,128.6784786,28,용지호수공원 무빙보트,54,TRUE,,,,,
34,중앙고 버스정류소,경남 창원시 성산구 용호동  505 도,35.23046584,128.6755174,29,용지호수공원 무빙보트,55,TRUE,,,,,
27,용지호수,경남 창원시 성산구 용호동  554-1,35.23179134,128.6799967,25,용지호수공원 무빙보트,57,TRUE,,,,,
22,시청사거리(옛한서병원),경남 창원시 성산구 중앙동  516-3 한서한방병원 앞,35.22758252,128.6796293,29,성산아트홀,58,TRUE,,,,,
47,창원시청,경남 창원시 성산구 용호동  1번지,35.2277337,128.6821961,40,성산아트홀,59,TRUE,,,,,
51,한국전력공사,경남 창원시 성산구 신월동  99-5 한국전력공사 앞 보도,35.23085802,128.688789,25,성산아트홀,61,TRUE,,,,,
29,은아상가,경남 창원시 성산구 신월동  501-22 도,35.22696466,128.6867934,25,성산아트홀,62,TRUE,,,,,
20,사림민원센터옆 노외주차장,경남 창원시 의창구 사림동  502-4 사림민원센터 옆 노외주차장,35.24270346,128.6818019,20,창원의집,107,TRUE,,,,,
5,경남지방경찰청,경남 창원시 의창구 사림동  1-2 대,35.23649287,128.6935687,30,도립미술관,108,TRUE,,,,,
16,북면사무소,경남 창원시 의창구 북면 신촌리 964-5 전,35.34809693,128.6076093,10,마금산온천,117,TRUE,,,,,
9,도청사거리,경남 창원시 의창구 사림동  501-3 도,35.23765397,128.6884081,20,도립미술관,126,TRUE,,"창원대학교,반송공원",,,
25,용지사거리,경남 창원시 성산구 반림동  512-3 도,35.23203015,128.6729077,20,창원경륜장,129,TRUE,,,,,
26,용지아이파크 건너편,경남 창원시 성산구 중앙동  516-3 도,35.22969244,128.6761692,20,용지호수공원 무빙보트,130,TRUE,,,,,
2,경남도교육청,경남 창원시 성산구 용호동  500 도,35.23290431,128.6873996,25,용지호수공원 무빙보트,132,TRUE,,,,,
46,창원상공회의소,경남 창원시 성산구 신월동  501-41 도,35.22831213,128.6842722,20,성산아트홀,134,TRUE,,,,,
10,롯데마트중앙점(이마트사이),경남 창원시 성산구 중앙동  92번지,35.22600398,128.6803274,20,성산아트홀,150,TRUE,,,,,
40,진해도서관,경남 창원시 진해구 여좌동  795-1,35.1522614,128.6664927,20,제황산공원-모노레일,151,TRUE,군항문화탐방,,,,
39,진해도서관,경남 창원시 진해구 여좌동  795-1,35.1522614,128.6664927,20,군항문화탐방,151,TRUE,,,,,
6,금강산면옥본점 앞,경남 창원시 진해구 충무동  13-10,35.15223165,128.6621439,20,군항문화탐방,152,TRUE,,,,,
7,금강산면옥본점 앞,경남 창원시 진해구 충무동  13-10,35.15223165,128.6621439,20,제황산공원-모노레일,152,TRUE,,,,,
35,진해 중원쉼터,경남 창원시 진해구 평안동  2,35.14983681,128.6602718,25,제황산공원-모노레일,153,TRUE,,,,,
42,진해시외버스터미널 옆(황실뷔페앞),경남 창원시 진해구 인의동  30,35.1450008,128.6618006,20,군항문화탐방,262,TRUE,제황산공원-모노레일,"진해박물관,제황산공원",,,
41,진해루,경남 창원시 진해구 경화동  1007-14,35.14731032,128.684417,30,진해해양레포츠센터,155,TRUE,,,,,
17,북면족욕체험장,경남 창원시 의창구 북면 신촌리 북면온천,35.35329048,128.6116755,9,마금산온천,168,TRUE,,,,,
