new출발터미널,총이용시간,평균이용시간
1,20 days 08:21:49,0 days 00:17:04.539044289
2,108 days 17:35:06,0 days 00:27:42.156050955
4,20 days 00:47:42,0 days 00:17:48.433333333
5,14 days 07:53:35,0 days 00:15:36.471255673
6,36 days 04:21:24,0 days 00:15:28.723707664
7,45 days 12:12:46,0 days 00:26:24.192586623
8,67 days 08:18:40,0 days 00:14:57.950617283
9,58 days 10:14:40,0 days 00:18:31.422280933
10,23 days 18:56:02,0 days 00:17:22.272819472
11,62 days 19:35:41,0 days 00:16:29.307510025
12,34 days 22:18:36,0 days 00:15:01.408602150
13,23 days 15:12:11,0 days 00:20:01.135882352
14,11 days 17:30:35,0 days 00:21:05.212234706
15,27 days 15:34:06,0 days 00:16:23.064197530
16,4 days 01:14:23,0 days 00:50:17.784482758
17,28 days 12:55:52,0 days 00:17:18.648694187
18,81 days 22:58:27,0 days 00:14:44.143713322
19,10 days 17:02:41,0 days 00:20:14.384514435
20,44 days 01:30:24,0 days 00:20:24.123472668
21,29 days 04:45:50,0 days 00:14:45.175438596
22,23 days 17:38:43,0 days 00:12:17.670143884
23,26 days 18:20:33,0 days 00:16:41.920710571
24,20 days 11:57:35,0 days 00:13:02.959770114
26,9 days 13:32:16,0 days 00:18:30.666666666
27,114 days 06:13:10,0 days 00:16:17.715162919
28,87 days 23:56:25,0 days 00:17:53.716283010
29,12 days 08:20:05,0 days 00:14:04.659540775
30,72 days 03:33:49,0 days 00:25:50.653980099
32,24 days 19:53:46,0 days 00:14:43.536243822
33,4 days 11:15:01,0 days 00:25:14.121568627
34,61 days 13:32:33,0 days 00:16:14.382304451
35,50 days 04:29:51,0 days 00:15:50.293885601
36,5 days 18:42:18,0 days 00:23:18.705882352
37,13 days 22:02:40,0 days 00:14:17.134711332
38,24 days 02:04:16,0 days 00:22:02.144853875
39,56 days 21:54:04,0 days 00:16:34.789399150
40,32 days 21:32:22,0 days 00:19:20.139591836
41,46 days 20:50:37,0 days 00:12:07.269576149
42,51 days 15:08:20,0 days 00:15:44.305673158
43,34 days 02:03:36,0 days 00:14:20.361086765
44,15 days 00:05:24,0 days 00:14:31.771351714
45,7 days 18:29:01,0 days 00:20:18.404718693
46,21 days 11:32:32,0 days 00:34:57.120903954
47,7 days 18:57:29,0 days 00:14:51.455629139
48,32 days 05:34:12,0 days 00:16:25.090909090
49,18 days 03:27:30,0 days 00:17:54.468814256
50,12 days 11:05:19,0 days 00:17:38.720747295
51,12 days 02:22:11,0 days 00:16:54.884466019
52,52 days 00:54:06,0 days 00:23:04.676932553
53,38 days 18:48:50,0 days 00:17:58.509816543
54,7 days 05:35:20,0 days 00:15:43.987915407
55,15 days 12:31:20,0 days 00:13:52.451893234
56,26 days 04:29:54,0 days 00:17:40.259606373
